id	x	y	z	radius	Sinapic acid	SLES	Kaurenoic Acid	Tryptophan
1m__BG5_01_982	5.4939849999999995	1.3870790000000002	65.797409	0.75	1224.0	50536.0	12044.0	2330544.0
1m__BG6_01_983	3.7219599999999997	2.669609	65.628372	0.75	1116.0	33024.0	20564.0	3006820.0
1m__BG7_01_984	0.803696	2.904211	65.534927	0.75	556.0	37320.0	13920.0	2581520.0
1m__BG8_01_985	1.449837	-2.749822	64.552856	0.75	1052.0	16164.0	7560.0	1921192.0
1m__BG9_01_986	4.368557	-1.4617040000000001	65.340828	0.75	1912.0	18484.0	4896.0	2420416.0
1m__BH10_01_999	8.198253999999999	-0.96645	63.98289499999999	0.8	412.0	50304.0	23232.0	3148532.0
1m__BH11_01_1000	0.12962200000000001	-4.654788	61.61610400000001	0.8	1824.0	27636.0	6700.0	3700524.0
1m__BH12_01_1001	9.724257000000001	-1.548417	60.030621	0.8	1796.0	2824.0	3008.0	20400.0
1m__BH1_01_990					976.0	23932.0	7528.0	2367920.0
1m__BH2_01_991	7.096931	-2.554732	63.77703100000001	0.8	1200.0	40372.0	16288.0	2427696.0
1m__BH3_01_992	4.280333000000001	-3.286621	63.683315	0.8	1348.0	23832.0	11492.0	2666356.0
1m__BH4_01_993	6.661382000000001	-2.774619	60.258289000000005	0.8	1508.0	41276.0	9920.0	2923780.0
1m__BH5_01_994	4.041481	-4.457683	61.733284	0.8	1292.0	43516.0	14448.0	3342168.0
1m__BH6_01_995	4.852232	-4.998201	59.86085500000001	0.8	1560.0	42108.0	11960.0	3115204.0
1m__BH7_01_996	4.094072	-5.544816	59.041775	0.8	1756.0	23260.0	3648.0	1727736.0
1m__BH8_01_997	2.9337020000000003	-5.16087	60.601868	0.8	1892.0	24476.0	13584.0	2374256.0
1m__BH9_01_998	1.632361	-3.907539	63.172428000000004	0.8	576.0	25516.0	14020.0	2491888.0
2m__BA10_01_1015	12.034439	0.653037	31.596745000000002	0.4	760.0	4296.0	14700.0	171516.0
2m__BA11_01_1016	12.379283000000001	0.135208	32.85178	0.4	16192.0	3292.0	10128.0	157980.0
2m__BA12_01_1017	12.583113	-0.214596	34.120022	0.4	704.0	7552.0	0.0	276976.0
2m__BA1_01_1006	12.202444	2.2238569999999998	33.468628	0.4	1212.0	2600.0	10744.0	56940.0
2m__BA2_01_1007	12.563701	2.011616	34.086715999999996	0.4	1292.0	2684.0	9516.0	120372.0
2m__BA3_01_1008	12.811558	1.715191	34.657799	0.4	2748.0	4028.0	6668.0	173296.0
2m__BA4_01_1009	12.708842	1.36266	35.414951	0.4	1040.0	41872.0	13008.0	188528.0
2m__BA5_01_1010	12.727031	0.897071	34.185471	0.4	1472.0	25708.0	9712.0	194988.0
2m__BA6_01_1011	12.342169	1.135205	33.122955	0.4	1596.0	6712.0	8648.0	98008.0
2m__BA7_01_1012	12.057411	1.5429959999999998	32.14711	0.4	1140.0	13576.0	15684.0	154892.0
2m__BA8_01_1013	12.599305000000001	0.414463	35.130947	0.4	960.0	14880.0	11828.0	155564.0
2m__BA9_01_1014	11.883980000000001	-1.256659	34.775871	0.4	1584.0	9744.0	8924.0	215464.0
